IMPRESS ID	CATEGORY	CATEGORY
M-G-P_013_001_013	abnormal	1
M-G-P_013_001_011	normal	0
M-G-P_013_001_011	abnormal	1
M-G-P_013_001_010	normal	0
M-G-P_013_001_010	abnormal	1
M-G-P_013_001_009	normal	0
M-G-P_013_001_009	degenerate	1
M-G-P_013_001_008	normal	0
M-G-P_013_001_008	abnormal	1
M-G-P_013_001_007	normal	0
M-G-P_013_001_007	abnormal	1
M-G-P_013_001_006	normal	0
M-G-P_013_001_006	abnormal	1
M-G-P_013_001_005	normal	0
M-G-P_013_001_005	degenerate	1
M-G-P_013_001_004	normal	0
M-G-P_013_001_004	abnormal	1
M-G-P_013_001_003	normal	0
M-G-P_013_001_003	abnormal	1
M-G-P_013_001_001	normal	0
M-G-P_013_001_001	abnormal	1
M-G-P_008_001_022	None	0
M-G-P_008_001_022	Vocal	1
M-G-P_008_001_021	None	0
M-G-P_008_001_021	Attempted to bite during the protocol	1
M-G-P_008_001_018	Absent	0
M-G-P_008_001_018	Present	1
M-G-P_008_001_017	Absent	0
M-G-P_008_001_017	Present	1
M-G-P_008_001_016	Absent	0
M-G-P_008_001_016	Present	1
M-G-P_008_001_014	Response to touch	0
M-G-P_008_001_014	Flees prior to touch	0
M-G-P_008_001_014	No response	1
M-G-P_008_001_013	Preyer reflex (backwards flick of the pinnae)	0
M-G-P_008_001_013	Reaction in addition to the Preyer reflex (eg. Startled response)	0
M-G-P_008_001_013	None	1
M-G-P_008_001_012	Horizontal extension	0
M-G-P_008_001_012	Dragging	1
M-G-P_008_001_012	Elevated/straub tail	1
M-G-P_008_001_011	More than 5mm	0
M-G-P_008_001_011	Less than 5mm	1
M-G-P_008_001_009	Fluid movement	0
M-G-P_008_001_009	Lack of fluidity in movement 	1
M-G-P_008_001_007	Brief freeze followed by movement	0
M-G-P_008_001_007	Immediate movement	0
M-G-P_008_001_007	Extended Freeze(over 5 seconds)	1
M-G-P_008_001_006	Absent	0
M-G-P_008_001_006	Present	1
M-G-P_008_001_005	Eyes Open	0
M-G-P_008_001_005	Eyes Closed	1
M-G-P_008_001_002	Absent	0
M-G-P_008_001_002	Present	1
M-G-P_008_001_001	Active	0
M-G-P_008_001_001	Inactive	1
M-G-P_008_001_001	Excessive Activity	1
M-G-P_006_001_030	normal	0
M-G-P_006_001_030	abnormal	1
M-G-P_006_001_029	normal	0
M-G-P_006_001_029	abnormal	1
M-G-P_006_001_026	no	0
M-G-P_006_001_026	yes	1
M-G-P_006_001_023	normal	0
M-G-P_006_001_023	abnormal	1
M-G-P_006_001_022	normal	0
M-G-P_006_001_022	abnormal	1
M-G-P_006_001_021	normal	0
M-G-P_006_001_021	abnormal	1
M-G-P_006_001_020	no syndactylism	0
M-G-P_006_001_020	syndactylism	1
M-G-P_006_001_019	normal	0
M-G-P_006_001_019	abnormal	1
M-G-P_006_001_018	normal	0
M-G-P_006_001_018	abnormal	1
M-G-P_006_001_017	normal	0
M-G-P_006_001_017	abnormal	1
M-G-P_006_001_014	not fused	0
M-G-P_006_001_014	fused	1
M-G-P_006_001_013	normal	0
M-G-P_006_001_013	abnormal	1
M-G-P_006_001_011	normal	0
M-G-P_006_001_011	abnormal	1
M-G-P_006_001_010	normal	0
M-G-P_006_001_010	abnormal	1
M-G-P_006_001_009	normal	0
M-G-P_006_001_009	abnormal	1
M-G-P_006_001_008	normal	0
M-G-P_006_001_008	abnormal	1
M-G-P_006_001_007	normal	0
M-G-P_006_001_007	abnormal	1
M-G-P_006_001_006	normal	0
M-G-P_006_001_006	abnormal	1
M-G-P_006_001_005	normal	0
M-G-P_006_001_005	abnormal	1
M-G-P_006_001_003	yes	0
M-G-P_006_001_003	no	1
M-G-P_006_001_002	yes	0
M-G-P_006_001_002	no	1
M-G-P_006_001_001	normal	0
M-G-P_006_001_001	abnormal	1
JAX_TLS_003_001	Yes	0
JAX_TLS_003_001	No	1
IMPC_XRY_067_001	normal	0
IMPC_XRY_067_001	abnormal	1
IMPC_XRY_066_001	normal	0
IMPC_XRY_066_001	abnormal	1
IMPC_XRY_065_001	normal	0
IMPC_XRY_065_001	abnormal	1
IMPC_XRY_064_001	normal	0
IMPC_XRY_064_001	abnormal	1
IMPC_XRY_063_001	normal	0
IMPC_XRY_063_001	abnormal	1
IMPC_XRY_062_001	no	0
IMPC_XRY_062_001	yes	1
IMPC_XRY_061_001	no	0
IMPC_XRY_061_001	yes	1
IMPC_XRY_060_001	no	0
IMPC_XRY_060_001	yes	1
IMPC_XRY_059_001	normal	0
IMPC_XRY_059_001	abnormal	1
IMPC_XRY_058_001	no	0
IMPC_XRY_058_001	yes	1
IMPC_XRY_057_001	no	0
IMPC_XRY_057_001	yes	1
IMPC_XRY_056_001	no	0
IMPC_XRY_056_001	yes	1
IMPC_XRY_055_001	normal	0
IMPC_XRY_055_001	abnormal	1
IMPC_XRY_031_001	yes	0
IMPC_XRY_031_001	no	1
IMPC_XRY_030_001	no	0
IMPC_XRY_030_001	yes	1
IMPC_XRY_029_001	no syndactylism	0
IMPC_XRY_029_001	Syndactylism	1
IMPC_XRY_027_001	normal	0
IMPC_XRY_027_001	abnormal	1
IMPC_XRY_026_001	normal	0
IMPC_XRY_026_001	abnormal	1
IMPC_XRY_025_001	normal	0
IMPC_XRY_025_001	abnormal	1
IMPC_XRY_024_001	normal	0
IMPC_XRY_024_001	abnormal	1
IMPC_XRY_023_001	normal	0
IMPC_XRY_023_001	abnormal	1
IMPC_XRY_022_001	normal	0
IMPC_XRY_022_001	abnormal	1
IMPC_XRY_021_001	normal	0
IMPC_XRY_021_001	abnormal	1
IMPC_XRY_020_001	normal	0
IMPC_XRY_020_001	abnormal	1
IMPC_XRY_019_001	no	0
IMPC_XRY_019_001	yes	1
IMPC_XRY_018_001	normal	0
IMPC_XRY_018_001	abnormal	1
IMPC_XRY_012_001	normal	0
IMPC_XRY_012_001	abnormal	1
IMPC_XRY_011_001	not fused	0
IMPC_XRY_011_001	fused	1
IMPC_XRY_010_001	normal	0
IMPC_XRY_010_001	abnormal	1
IMPC_XRY_007_001	normal	0
IMPC_XRY_007_001	abnormal	1
IMPC_XRY_006_001	normal	0
IMPC_XRY_006_001	abnormal	1
IMPC_XRY_005_001	normal	0
IMPC_XRY_005_001	abnormal	1
IMPC_XRY_004_001	normal	0
IMPC_XRY_004_001	abnormal	1
IMPC_XRY_003_001	normal	0
IMPC_XRY_003_001	abnormal	1
IMPC_XRY_002_001	normal	0
IMPC_XRY_002_001	abnormal	1
IMPC_XRY_001_001	normal	0
IMPC_XRY_001_001	abnormal	1
IMPC_GPP_005_001	normal	0
IMPC_GPP_005_001	abnormal	1
IMPC_GPP_004_001	normal	0
IMPC_GPP_004_001	abnormal	1
IMPC_GPP_003_001	normal	0
IMPC_GPP_003_001	abnormal	1
IMPC_GPP_002_001	normal	0
IMPC_GPP_002_001	abnormal	1
IMPC_GPP_001_001	normal	0
IMPC_GPP_001_001	abnormal	1
IMPC_GPO_005_001	normal	0
IMPC_GPO_005_001	abnormal	1
IMPC_GPO_004_001	normal	0
IMPC_GPO_004_001	abnormal	1
IMPC_GPO_003_001	normal	0
IMPC_GPO_003_001	abnormal	1
IMPC_GPO_002_001	normal	0
IMPC_GPO_002_001	abnormal	1
IMPC_GPO_001_001	normal	0
IMPC_GPO_001_001	abnormal	1
IMPC_GPM_005_001	normal	0
IMPC_GPM_005_001	abnormal	1
IMPC_GPM_004_001	normal	0
IMPC_GPM_004_001	abnormal	1
IMPC_GPM_003_001	normal	0
IMPC_GPM_003_001	abnormal	1
IMPC_GPM_002_001	normal	0
IMPC_GPM_002_001	abnormal	1
IMPC_GPM_001_001	normal	0
IMPC_GPM_001_001	abnormal	1
IMPC_GPL_005_001	normal	0
IMPC_GPL_005_001	abnormal	1
IMPC_GPL_004_001	normal	0
IMPC_GPL_004_001	abnormal	1
IMPC_GPL_003_001	normal	0
IMPC_GPL_003_001	abnormal	1
IMPC_GPL_002_001	normal	0
IMPC_GPL_002_001	abnormal	1
IMPC_GPL_001_001	normal	0
IMPC_GPL_001_001	abnormal	1
IMPC_GEP_061_001	normal	0
IMPC_GEP_061_001	abnormal	1
IMPC_GEP_060_001	normal	0
IMPC_GEP_060_001	abnormal	1
IMPC_GEP_059_001	normal	0
IMPC_GEP_059_001	abnormal	1
IMPC_GEP_058_001	normal	0
IMPC_GEP_058_001	abnormal	1
IMPC_GEP_057_001	normal	0
IMPC_GEP_057_001	abnormal	1
IMPC_GEP_056_001	normal	0
IMPC_GEP_056_001	abnormal	1
IMPC_GEP_055_001	normal	0
IMPC_GEP_055_001	abnormal	1
IMPC_GEP_054_001	normal	0
IMPC_GEP_054_001	abnormal	1
IMPC_GEP_053_001	normal	0
IMPC_GEP_053_001	abnormal	1
IMPC_GEP_052_001	normal	0
IMPC_GEP_052_001	abnormal	1
IMPC_GEP_051_001	normal	0
IMPC_GEP_051_001	abnormal	1
IMPC_GEP_050_001	normal	0
IMPC_GEP_050_001	abnormal	1
IMPC_GEP_049_001	normal	0
IMPC_GEP_049_001	abnormal	1
IMPC_GEP_048_001	normal	0
IMPC_GEP_048_001	abnormal	1
IMPC_GEP_047_001	normal	0
IMPC_GEP_047_001	abnormal	1
IMPC_GEP_046_001	normal	0
IMPC_GEP_046_001	abnormal	1
IMPC_GEP_045_001	normal	0
IMPC_GEP_045_001	abnormal	1
IMPC_GEP_044_001	normal	0
IMPC_GEP_044_001	abnormal	1
IMPC_GEP_043_001	normal	0
IMPC_GEP_043_001	abnormal	1
IMPC_GEP_042_001	normal	0
IMPC_GEP_042_001	abnormal	1
IMPC_GEP_041_001	normal	0
IMPC_GEP_041_001	abnormal	1
IMPC_GEP_040_001	normal	0
IMPC_GEP_040_001	abnormal	1
IMPC_GEP_039_001	normal	0
IMPC_GEP_039_001	abnormal	1
IMPC_GEP_038_001	normal	0
IMPC_GEP_038_001	abnormal	1
IMPC_GEP_037_001	normal	0
IMPC_GEP_037_001	abnormal	1
IMPC_GEP_036_001	normal	0
IMPC_GEP_036_001	abnormal	1
IMPC_GEP_035_001	normal	0
IMPC_GEP_035_001	abnormal	1
IMPC_GEP_034_001	normal	0
IMPC_GEP_034_001	abnormal	1
IMPC_GEP_033_001	normal	0
IMPC_GEP_033_001	abnormal	1
IMPC_GEP_032_001	normal	0
IMPC_GEP_032_001	abnormal	1
IMPC_GEP_031_001	normal	0
IMPC_GEP_031_001	abnormal	1
IMPC_GEP_030_001	normal	0
IMPC_GEP_030_001	abnormal	1
IMPC_GEP_029_001	normal	0
IMPC_GEP_029_001	abnormal	1
IMPC_GEP_028_001	normal	0
IMPC_GEP_028_001	abnormal	1
IMPC_GEP_027_001	normal	0
IMPC_GEP_027_001	abnormal	1
IMPC_GEP_026_001	normal	0
IMPC_GEP_026_001	abnormal	1
IMPC_GEP_025_001	normal	0
IMPC_GEP_025_001	abnormal	1
IMPC_GEP_024_001	normal	0
IMPC_GEP_024_001	abnormal	1
IMPC_GEP_022_001	normal	0
IMPC_GEP_022_001	abnormal	1
IMPC_GEP_021_001	normal	0
IMPC_GEP_021_001	abnormal	1
IMPC_GEP_020_001	normal	0
IMPC_GEP_020_001	abnormal	1
IMPC_GEP_019_001	normal	0
IMPC_GEP_019_001	abnormal	1
IMPC_GEP_018_001	normal	0
IMPC_GEP_018_001	abnormal	1
IMPC_GEP_017_001	normal	0
IMPC_GEP_017_001	abnormal	1
IMPC_GEP_016_001	normal	0
IMPC_GEP_016_001	abnormal	1
IMPC_GEP_015_001	normal	0
IMPC_GEP_015_001	abnormal	1
IMPC_GEP_014_001	normal	0
IMPC_GEP_014_001	abnormal	1
IMPC_GEP_013_001	normal	0
IMPC_GEP_013_001	abnormal	1
IMPC_GEP_012_001	normal	0
IMPC_GEP_012_001	abnormal	1
IMPC_GEP_011_001	normal	0
IMPC_GEP_011_001	abnormal	1
IMPC_GEP_010_001	normal	0
IMPC_GEP_010_001	abnormal	1
IMPC_GEP_009_001	normal	0
IMPC_GEP_009_001	abnormal	1
IMPC_GEP_008_001	normal	0
IMPC_GEP_008_001	abnormal	1
IMPC_GEP_007_001	normal	0
IMPC_GEP_007_001	abnormal	1
IMPC_GEP_006_001	normal	0
IMPC_GEP_006_001	abnormal	1
IMPC_GEP_005_001	normal	0
IMPC_GEP_005_001	abnormal	1
IMPC_GEP_004_001	normal	0
IMPC_GEP_004_001	abnormal	1
IMPC_GEP_003_001	normal	0
IMPC_GEP_003_001	abnormal	1
IMPC_GEO_048_001	normal	0
IMPC_GEO_048_001	abnormal	1
IMPC_GEO_047_001	normal	0
IMPC_GEO_047_001	abnormal	1
IMPC_GEO_046_001	normal	0
IMPC_GEO_046_001	abnormal	1
IMPC_GEO_045_001	normal	0
IMPC_GEO_045_001	abnormal	1
IMPC_GEO_044_001	normal	0
IMPC_GEO_044_001	abnormal	1
IMPC_GEO_043_001	normal	0
IMPC_GEO_043_001	abnormal	1
IMPC_GEO_042_001	normal	0
IMPC_GEO_042_001	abnormal	1
IMPC_GEO_041_001	normal	0
IMPC_GEO_041_001	abnormal	1
IMPC_GEO_040_001	normal	0
IMPC_GEO_040_001	abnormal	1
IMPC_GEO_039_001	normal	0
IMPC_GEO_039_001	abnormal	1
IMPC_GEO_038_001	normal	0
IMPC_GEO_038_001	abnormal	1
IMPC_GEO_037_001	normal	0
IMPC_GEO_037_001	abnormal	1
IMPC_GEO_036_001	normal	0
IMPC_GEO_036_001	abnormal	1
IMPC_GEO_035_001	normal	0
IMPC_GEO_035_001	abnormal	1
IMPC_GEO_034_001	normal	0
IMPC_GEO_034_001	abnormal	1
IMPC_GEO_033_001	normal	0
IMPC_GEO_033_001	abnormal	1
IMPC_GEO_032_001	normal	0
IMPC_GEO_032_001	abnormal	1
IMPC_GEO_031_001	normal	0
IMPC_GEO_031_001	abnormal	1
IMPC_GEO_030_001	normal	0
IMPC_GEO_030_001	abnormal	1
IMPC_GEO_029_001	normal	0
IMPC_GEO_029_001	abnormal	1
IMPC_GEO_028_001	normal	0
IMPC_GEO_028_001	abnormal	1
IMPC_GEO_027_001	normal	0
IMPC_GEO_027_001	abnormal	1
IMPC_GEO_026_001	normal	0
IMPC_GEO_026_001	abnormal	1
IMPC_GEO_025_001	normal	0
IMPC_GEO_025_001	abnormal	1
IMPC_GEO_024_001	normal	0
IMPC_GEO_024_001	abnormal	1
IMPC_GEO_023_001	normal	0
IMPC_GEO_023_001	abnormal	1
IMPC_GEO_022_001	normal	0
IMPC_GEO_022_001	abnormal	1
IMPC_GEO_021_001	normal	0
IMPC_GEO_021_001	abnormal	1
IMPC_GEO_020_001	normal	0
IMPC_GEO_020_001	abnormal	1
IMPC_GEO_019_001	normal	0
IMPC_GEO_019_001	abnormal	1
IMPC_GEO_018_001	normal	0
IMPC_GEO_018_001	abnormal	1
IMPC_GEO_017_001	normal	0
IMPC_GEO_017_001	abnormal	1
IMPC_GEO_016_001	normal	0
IMPC_GEO_016_001	abnormal	1
IMPC_GEO_015_001	normal	0
IMPC_GEO_015_001	abnormal	1
IMPC_GEO_014_001	normal	0
IMPC_GEO_014_001	abnormal	1
IMPC_GEO_013_001	normal	0
IMPC_GEO_013_001	abnormal	1
IMPC_GEO_012_001	normal	0
IMPC_GEO_012_001	abnormal	1
IMPC_GEO_011_001	normal	0
IMPC_GEO_011_001	abnormal	1
IMPC_GEO_010_001	normal	0
IMPC_GEO_010_001	abnormal	1
IMPC_GEO_009_001	normal	0
IMPC_GEO_009_001	abnormal	1
IMPC_GEO_008_001	normal	0
IMPC_GEO_008_001	abnormal	1
IMPC_GEO_007_001	normal	0
IMPC_GEO_007_001	abnormal	1
IMPC_GEO_006_001	normal	0
IMPC_GEO_006_001	abnormal	1
IMPC_GEO_005_001	normal	0
IMPC_GEO_005_001	abnormal	1
IMPC_GEO_004_001	normal	0
IMPC_GEO_004_001	abnormal	1
IMPC_GEO_003_001	normal	0
IMPC_GEO_003_001	abnormal	1
IMPC_GEM_045_001	normal	0
IMPC_GEM_045_001	abnormal	1
IMPC_GEM_044_001	normal	0
IMPC_GEM_044_001	abnormal	1
IMPC_GEM_043_001	normal	0
IMPC_GEM_043_001	abnormal	1
IMPC_GEM_042_001	normal	0
IMPC_GEM_042_001	abnormal	1
IMPC_GEM_041_001	normal	0
IMPC_GEM_041_001	abnormal	1
IMPC_GEM_040_001	normal	0
IMPC_GEM_040_001	abnormal	1
IMPC_GEM_039_001	normal	0
IMPC_GEM_039_001	abnormal	1
IMPC_GEM_038_001	normal	0
IMPC_GEM_038_001	abnormal	1
IMPC_GEM_037_001	normal	0
IMPC_GEM_037_001	abnormal	1
IMPC_GEM_036_001	normal	0
IMPC_GEM_036_001	abnormal	1
IMPC_GEM_035_001	normal	0
IMPC_GEM_035_001	abnormal	1
IMPC_GEM_034_001	normal	0
IMPC_GEM_034_001	abnormal	1
IMPC_GEM_033_001	normal	0
IMPC_GEM_033_001	abnormal	1
IMPC_GEM_032_001	normal	0
IMPC_GEM_032_001	abnormal	1
IMPC_GEM_031_001	normal	0
IMPC_GEM_031_001	abnormal	1
IMPC_GEM_030_001	normal	0
IMPC_GEM_030_001	abnormal	1
IMPC_GEM_029_001	normal	0
IMPC_GEM_029_001	abnormal	1
IMPC_GEM_028_001	normal	0
IMPC_GEM_028_001	abnormal	1
IMPC_GEM_027_001	normal	0
IMPC_GEM_027_001	abnormal	1
IMPC_GEM_026_001	normal	0
IMPC_GEM_026_001	abnormal	1
IMPC_GEM_025_001	normal	0
IMPC_GEM_025_001	abnormal	1
IMPC_GEM_024_001	normal	0
IMPC_GEM_024_001	abnormal	1
IMPC_GEM_023_001	normal	0
IMPC_GEM_023_001	abnormal	1
IMPC_GEM_022_001	normal	0
IMPC_GEM_022_001	abnormal	1
IMPC_GEM_021_001	normal	0
IMPC_GEM_021_001	abnormal	1
IMPC_GEM_020_001	normal	0
IMPC_GEM_020_001	abnormal	1
IMPC_GEM_019_001	normal	0
IMPC_GEM_019_001	abnormal	1
IMPC_GEM_018_001	normal	0
IMPC_GEM_018_001	abnormal	1
IMPC_GEM_017_001	normal	0
IMPC_GEM_017_001	abnormal	1
IMPC_GEM_016_001	normal	0
IMPC_GEM_016_001	abnormal	1
IMPC_GEM_015_001	normal	0
IMPC_GEM_015_001	abnormal	1
IMPC_GEM_014_001	normal	0
IMPC_GEM_014_001	abnormal	1
IMPC_GEM_013_001	normal	0
IMPC_GEM_013_001	abnormal	1
IMPC_GEM_012_001	normal	0
IMPC_GEM_012_001	abnormal	1
IMPC_GEM_011_001	normal	0
IMPC_GEM_011_001	abnormal	1
IMPC_GEM_010_001	normal	0
IMPC_GEM_010_001	abnormal	1
IMPC_GEM_009_001	normal	0
IMPC_GEM_009_001	abnormal	1
IMPC_GEM_008_001	normal	0
IMPC_GEM_008_001	abnormal	1
IMPC_GEM_007_001	normal	0
IMPC_GEM_007_001	abnormal	1
IMPC_GEM_006_001	normal	0
IMPC_GEM_006_001	abnormal	1
IMPC_GEM_005_001	normal	0
IMPC_GEM_005_001	abnormal	1
IMPC_GEM_004_001	normal	0
IMPC_GEM_004_001	abnormal	1
IMPC_GEM_003_001	normal	0
IMPC_GEM_003_001	abnormal	1
IMPC_GEL_042_001	normal	0
IMPC_GEL_042_001	abnormal	1
IMPC_GEL_041_001	normal	0
IMPC_GEL_041_001	abnormal	1
IMPC_GEL_040_001	normal	0
IMPC_GEL_040_001	abnormal	1
IMPC_GEL_039_001	normal	0
IMPC_GEL_039_001	abnormal	1
IMPC_GEL_038_001	normal	0
IMPC_GEL_038_001	abnormal	1
IMPC_GEL_037_001	normal	0
IMPC_GEL_037_001	abnormal	1
IMPC_GEL_036_001	normal	0
IMPC_GEL_036_001	abnormal	1
IMPC_GEL_035_001	normal	0
IMPC_GEL_035_001	abnormal	1
IMPC_GEL_034_001	normal	0
IMPC_GEL_034_001	abnormal	1
IMPC_GEL_033_001	normal	0
IMPC_GEL_033_001	abnormal	1
IMPC_GEL_032_001	normal	0
IMPC_GEL_032_001	abnormal	1
IMPC_GEL_031_001	normal	0
IMPC_GEL_031_001	abnormal	1
IMPC_GEL_030_001	normal	0
IMPC_GEL_030_001	abnormal	1
IMPC_GEL_029_001	normal	0
IMPC_GEL_029_001	abnormal	1
IMPC_GEL_028_001	normal	0
IMPC_GEL_028_001	abnormal	1
IMPC_GEL_027_001	normal	0
IMPC_GEL_027_001	abnormal	1
IMPC_GEL_026_001	normal	0
IMPC_GEL_026_001	abnormal	1
IMPC_GEL_025_001	normal	0
IMPC_GEL_025_001	abnormal	1
IMPC_GEL_024_001	normal	0
IMPC_GEL_024_001	abnormal	1
IMPC_GEL_023_001	normal	0
IMPC_GEL_023_001	abnormal	1
IMPC_GEL_022_001	normal	0
IMPC_GEL_022_001	abnormal	1
IMPC_GEL_021_001	normal	0
IMPC_GEL_021_001	abnormal	1
IMPC_GEL_020_001	normal	0
IMPC_GEL_020_001	abnormal	1
IMPC_GEL_019_001	normal	0
IMPC_GEL_019_001	abnormal	1
IMPC_GEL_018_001	normal	0
IMPC_GEL_018_001	abnormal	1
IMPC_GEL_017_001	normal	0
IMPC_GEL_017_001	abnormal	1
IMPC_GEL_016_001	normal	0
IMPC_GEL_016_001	abnormal	1
IMPC_GEL_015_001	normal	0
IMPC_GEL_015_001	abnormal	1
IMPC_GEL_014_001	normal	0
IMPC_GEL_014_001	abnormal	1
IMPC_GEL_013_001	normal	0
IMPC_GEL_013_001	abnormal	1
IMPC_GEL_012_001	normal	0
IMPC_GEL_012_001	abnormal	1
IMPC_GEL_011_001	normal	0
IMPC_GEL_011_001	abnormal	1
IMPC_GEL_010_001	normal	0
IMPC_GEL_010_001	abnormal	1
IMPC_GEL_009_001	normal	0
IMPC_GEL_009_001	abnormal	1
IMPC_GEL_008_001	normal	0
IMPC_GEL_008_001	abnormal	1
IMPC_GEL_007_001	normal	0
IMPC_GEL_007_001	abnormal	1
IMPC_GEL_006_001	normal	0
IMPC_GEL_006_001	abnormal	1
IMPC_GEL_005_001	normal	0
IMPC_GEL_005_001	abnormal	1
IMPC_GEL_004_001	normal	0
IMPC_GEL_004_001	abnormal	1
IMPC_GEL_003_001	normal	0
IMPC_GEL_003_001	abnormal	1
IMPC_EYE_086_001	absent	0
IMPC_EYE_086_001	present left eye	1
IMPC_EYE_086_001	present right eye	1
IMPC_EYE_086_001	present both eyes	1
